Id,Material_Id,Time_Stamp,Json_Text,Spec_Type
1,101,2/8/2019 15:20,"{""Dtex"":3300,""Style"":101,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":3000,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":17.76,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":12.81,""MinDryWeight"":12.29,""MaxDryWeight"":13.32,""MeanConditionedWeight"":13.7,""MinConditionedWeight"":13.15,""MaxConditionedWeight"":14.25,""YarnFinish"":""0.01"",""YarnCode"":""FKE002933005NP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""KY7 finish"",""YarnMerge"":""1F998""}",style
2,102,2/8/2019 15:20,"{""Dtex"":3300,""Style"":102,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":3000,""MeanWarpCount"":15.5,""MinWarpCount"":14.74,""MaxWarpCount"":16.26,""MeanFillCount"":15.5,""MinFillCount"":14.74,""MaxFillCount"":16.26,""MeanDryWeight"":11.57,""MinDryWeight"":11.1,""MaxDryWeight"":12.03,""MeanConditionedWeight"":12.38,""MinConditionedWeight"":11.88,""MaxConditionedWeight"":12.87,""YarnFinish"":""0.01"",""YarnCode"":""FKE002933005NP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""KY7 finish"",""YarnMerge"":""1F998""}",style
3,106,2/8/2019 15:20,"{""Dtex"":3300,""Style"":106,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":3000,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":12.71,""MinDryWeight"":12.21,""MaxDryWeight"":13.22,""MeanConditionedWeight"":13.6,""MinConditionedWeight"":13.06,""MaxConditionedWeight"":14.15,""YarnFinish"":""0.01"",""YarnCode"":""FKE002933001LP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""NNP-11E finish"",""YarnMerge"":""1K1523""}",style
4,128,2/8/2019 15:20,"{""Dtex"":440,""Style"":128,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":28,""MinWarpCount"":27.24,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27.24,""MaxFillCount"":28.76,""MeanDryWeight"":2.79,""MinDryWeight"":2.67,""MaxDryWeight"":2.9,""MeanConditionedWeight"":2.98,""MinConditionedWeight"":2.86,""MaxConditionedWeight"":3.1,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
5,129,2/8/2019 15:20,"{""Dtex"":440,""Style"":129,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":28,""MinWarpCount"":27.24,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27.24,""MaxFillCount"":28.76,""MeanDryWeight"":2.79,""MinDryWeight"":2.67,""MaxDryWeight"":2.9,""MeanConditionedWeight"":2.98,""MinConditionedWeight"":2.86,""MaxConditionedWeight"":3.1,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
6,130,2/8/2019 15:20,"{""Dtex"":440,""Style"":130,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":30,""MinWarpCount"":29.24,""MaxWarpCount"":16.26,""MeanFillCount"":30,""MinFillCount"":29.24,""MaxFillCount"":30.76,""MeanDryWeight"":2.99,""MinDryWeight"":2.87,""MaxDryWeight"":3.1,""MeanConditionedWeight"":3.19,""MinConditionedWeight"":3.07,""MaxConditionedWeight"":3.32,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
7,131,2/8/2019 15:20,"{""Dtex"":440,""Style"":131,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":3.08,""MinDryWeight"":2.96,""MaxDryWeight"":3.21,""MeanConditionedWeight"":3.3,""MinConditionedWeight"":3.17,""MaxConditionedWeight"":3.43,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
8,132,2/8/2019 15:20,"{""Dtex"":440,""Style"":132,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":32,""MinWarpCount"":31.24,""MaxWarpCount"":16.26,""MeanFillCount"":32,""MinFillCount"":31.24,""MaxFillCount"":32.77,""MeanDryWeight"":3.19,""MinDryWeight"":3.06,""MaxDryWeight"":3.31,""MeanConditionedWeight"":3.41,""MinConditionedWeight"":3.27,""MaxConditionedWeight"":3.54,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
9,136,2/8/2019 15:20,"{""Dtex"":440,""Style"":136,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":36,""MinWarpCount"":35.24,""MaxWarpCount"":16.26,""MeanFillCount"":36,""MinFillCount"":35.24,""MaxFillCount"":36.76,""MeanDryWeight"":3.58,""MinDryWeight"":3.44,""MaxDryWeight"":3.73,""MeanConditionedWeight"":3.83,""MinConditionedWeight"":3.68,""MaxConditionedWeight"":3.99,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP04409GP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W068""}",style
10,140,2/8/2019 15:20,"{""Dtex"":3300,""Style"":140,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":3000,""MeanWarpCount"":11,""MinWarpCount"":10.24,""MaxWarpCount"":16.26,""MeanFillCount"":11,""MinFillCount"":10.24,""MaxFillCount"":11.76,""MeanDryWeight"":8.22,""MinDryWeight"":7.89,""MaxDryWeight"":8.55,""MeanConditionedWeight"":8.79,""MinConditionedWeight"":8.44,""MaxConditionedWeight"":9.14,""YarnFinish"":""0.01"",""YarnCode"":""FKE002933001LP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""NNP-11E finish"",""YarnMerge"":""1K1523""}",style
11,226,2/8/2019 15:20,"{""Dtex"":560,""Style"":226,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":500,""MeanWarpCount"":26,""MinWarpCount"":25.24,""MaxWarpCount"":16.26,""MeanFillCount"":26,""MinFillCount"":25.24,""MaxFillCount"":26.76,""MeanDryWeight"":3.24,""MinDryWeight"":3.11,""MaxDryWeight"":3.37,""MeanConditionedWeight"":3.47,""MinConditionedWeight"":3.33,""MaxConditionedWeight"":3.61,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP05609BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W034""}",style
12,227,2/8/2019 15:20,"{""Dtex"":560,""Style"":227,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":500,""MeanWarpCount"":26,""MinWarpCount"":25.24,""MaxWarpCount"":16.26,""MeanFillCount"":26,""MinFillCount"":25.24,""MaxFillCount"":26.76,""MeanDryWeight"":3.24,""MinDryWeight"":3.11,""MaxDryWeight"":3.37,""MeanConditionedWeight"":3.47,""MinConditionedWeight"":3.33,""MaxConditionedWeight"":3.61,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP05609BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W034""}",style
13,228,2/8/2019 15:20,"{""Dtex"":560,""Style"":228,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":500,""MeanWarpCount"":28,""MinWarpCount"":27.24,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27.24,""MaxFillCount"":28.76,""MeanDryWeight"":3.49,""MinDryWeight"":3.35,""MaxDryWeight"":3.63,""MeanConditionedWeight"":3.73,""MinConditionedWeight"":3.58,""MaxConditionedWeight"":3.88,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP05609BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W034""}",style
14,231,2/8/2019 15:20,"{""Dtex"":560,""Style"":231,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":500,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":3.86,""MinDryWeight"":3.71,""MaxDryWeight"":4.02,""MeanConditionedWeight"":4.13,""MinConditionedWeight"":3.97,""MaxConditionedWeight"":4.3,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP05609BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W034""}",style
15,237,2/8/2019 15:20,"{""Dtex"":560,""Style"":237,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":500,""MeanWarpCount"":37,""MinWarpCount"":36.24,""MaxWarpCount"":16.26,""MeanFillCount"":37,""MinFillCount"":36.24,""MaxFillCount"":37.76,""MeanDryWeight"":4.61,""MinDryWeight"":4.43,""MaxDryWeight"":4.8,""MeanConditionedWeight"":4.93,""MinConditionedWeight"":4.74,""MaxConditionedWeight"":5.13,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KMP05609BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1W034""}",style
16,252,2/8/2019 15:20,"{""Dtex"":420,""Style"":252,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":380,""MeanWarpCount"":50,""MinWarpCount"":49.24,""MaxWarpCount"":16.26,""MeanFillCount"":50,""MinFillCount"":49.24,""MaxFillCount"":50.76,""MeanDryWeight"":4.74,""MinDryWeight"":4.55,""MaxDryWeight"":4.93,""MeanConditionedWeight"":5.07,""MinConditionedWeight"":4.87,""MaxConditionedWeight"":5.27,""YarnFinish"":""0.01"",""YarnCode"":""FKE004904207KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1G568""}",style
17,258,2/8/2019 15:20,"{""Dtex"":3140,""Style"":258,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":2825,""MeanWarpCount"":16.26,""MinWarpCount"":15.49,""MaxWarpCount"":16.26,""MeanFillCount"":16.26,""MinFillCount"":15.49,""MaxFillCount"":17.02,""MeanDryWeight"":11.42,""MinDryWeight"":10.96,""MaxDryWeight"":11.87,""MeanConditionedWeight"":12.22,""MinConditionedWeight"":11.73,""MaxConditionedWeight"":12.71,""YarnFinish"":""0.08"",""YarnCode"":""FKE012931405BP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""NNP-11E finish"",""YarnMerge"":""1F1601""}",style
18,270,2/8/2019 15:20,"{""Dtex"":220,""Style"":270,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":200,""MeanWarpCount"":70,""MinWarpCount"":69.24,""MaxWarpCount"":16.26,""MeanFillCount"":70,""MinFillCount"":69.24,""MaxFillCount"":70.76,""MeanDryWeight"":3.65,""MinDryWeight"":3.5,""MaxDryWeight"":3.79,""MeanConditionedWeight"":3.9,""MinConditionedWeight"":3.74,""MaxConditionedWeight"":4.06,""YarnFinish"":""0.01"",""YarnCode"":""FKE015902201VI0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F1051""}",style
19,281,2/8/2019 15:20,"{""Dtex"":1270,""Style"":281,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1140,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":5.06,""MinDryWeight"":4.86,""MaxDryWeight"":5.27,""MeanConditionedWeight"":5.24,""MinConditionedWeight"":5.03,""MaxConditionedWeight"":5.45,""YarnFinish"":""0.01"",""YarnCode"":""FKE004912707GP0000"",""MoistureRegain"":0.04,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1G545""}",style
20,282,2/8/2019 15:20,"{""Dtex"":1270,""Style"":282,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1140,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":5.06,""MinDryWeight"":4.86,""MaxDryWeight"":5.27,""MeanConditionedWeight"":5.24,""MinConditionedWeight"":5.03,""MaxConditionedWeight"":5.45,""YarnFinish"":""0.01"",""YarnCode"":""FKE004912707GP0000"",""MoistureRegain"":0.04,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1G545""}",style
21,285,2/8/2019 15:20,"{""Dtex"":1270,""Style"":285,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1140,""MeanWarpCount"":17,""MinWarpCount"":16.24,""MaxWarpCount"":16.26,""MeanFillCount"":17,""MinFillCount"":16.24,""MaxFillCount"":17.76,""MeanDryWeight"":5.06,""MinDryWeight"":4.86,""MaxDryWeight"":5.27,""MeanConditionedWeight"":5.24,""MinConditionedWeight"":5.03,""MaxConditionedWeight"":5.45,""YarnFinish"":""0.01"",""YarnCode"":""FKE004912707GP0000"",""MoistureRegain"":0.04,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1G545""}",style
22,305,2/8/2019 15:20,"{""Dtex"":440,""Style"":305,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":400,""MeanWarpCount"":31,""MinWarpCount"":30.24,""MaxWarpCount"":16.26,""MeanFillCount"":31,""MinFillCount"":30.24,""MaxFillCount"":31.76,""MeanDryWeight"":3.09,""MinDryWeight"":2.96,""MaxDryWeight"":3.21,""MeanConditionedWeight"":3.3,""MinConditionedWeight"":3.17,""MaxConditionedWeight"":3.43,""YarnFinish"":""0.01"",""YarnCode"":""FKE0KM204405HP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":"""",""YarnMerge"":""1F1476""}",style
23,314,2/8/2019 15:20,"{""Dtex"":1670,""Style"":314,""WeaveType"":"""",""YarnType"":""Dupont"",""Denier"":1500,""MeanWarpCount"":28,""MinWarpCount"":27,""MaxWarpCount"":16.26,""MeanFillCount"":28,""MinFillCount"":27,""MaxFillCount"":29,""MeanDryWeight"":10.45,""MinDryWeight"":10.03,""MaxDryWeight"":10.87,""MeanConditionedWeight"":11.17,""MinConditionedWeight"":10.74,""MaxConditionedWeight"":11.63,""YarnFinish"":""0.01"",""YarnCode"":""FKE002916701KP0000"",""MoistureRegain"":0.07,""Twisting"":0,""YarnColor"":"""",""Notes"":""Coconut oil finish"",""YarnMerge"":""1F211""}",style
